,Neighborhood,Latitude,Longitude,Avg 2BHK Rent,Hospitals,Schools,Emergency Services,Leisure,Shopping Facilities,Spiritual Centers,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
189,Reclamation,19.0510603,72.8330532,67142.86,31,42,13,22,100,64,Indian Restaurant,Café,Chinese Restaurant,Coffee Shop,Pizza Place,Bar,Bakery,Snack Place,Tea Room,Italian Restaurant
190,Shimpoli,19.2228291,72.8409213,28500.0,13,53,3,42,100,52,Indian Restaurant,Restaurant,Fast Food Restaurant,Café,Coffee Shop,Bakery,Dessert Shop,Asian Restaurant,Snack Place,Sandwich Place
191,Swastik Park,19.1254209,72.9177553,39120.0,17,42,6,19,100,57,Indian Restaurant,Coffee Shop,Café,Arcade,Seafood Restaurant,Bar,Bed & Breakfast,Lounge,Smoke Shop,Concert Hall
192,14TH ROAD,19.068617,72.8329159,77750.0,26,23,6,36,100,73,Indian Restaurant,Café,Bar,Italian Restaurant,Bakery,Lounge,Seafood Restaurant,Pub,Asian Restaurant,Dessert Shop
193,lower parel west,18.9963318,72.8308603,77500.0,11,31,11,37,100,87,Indian Restaurant,Café,Restaurant,Coffee Shop,Pub,Italian Restaurant,Lounge,Asian Restaurant,Mediterranean Restaurant,Clothing Store
194,Sector 20 Ulwe,18.9804364,73.0387309,30000.0,0,1,0,0,1,2,Pizza Place,Department Store,Italian Restaurant,Dhaba,Zoo,Event Space,Diner,Donut Shop,Dumpling Restaurant,Electronics Store
195,versova,19.13025205,72.8213774957082,70833.33,30,34,3,36,100,42,Café,Pub,Indian Restaurant,Bar,Lounge,Ice Cream Shop,Pizza Place,Chinese Restaurant,Seafood Restaurant,Vegetarian / Vegan Restaurant
196,Navade,19.053846,73.1030296,26000.0,1,10,1,1,1,9,Lake,Bookstore,Diner,Flea Market,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm
197,Asalpha,19.097,72.8945,35000.0,18,63,1,6,69,100,Factory,Café,Light Rail Station,Hotel,Food Truck,Lounge,Restaurant,Electronics Store,Donut Shop,Dumpling Restaurant
198,Bandstand,19.0504556,72.8218606,159285.71,6,17,4,29,89,47,Coffee Shop,Café,Bakery,Chinese Restaurant,Pizza Place,Indian Restaurant,Italian Restaurant,Bar,Lounge,Ice Cream Shop
199,Kamathipura,18.9653224,72.8264349,75000.0,42,100,29,22,100,100,Indian Restaurant,Fast Food Restaurant,Restaurant,Dessert Shop,Ice Cream Shop,Department Store,Athletics & Sports,Flea Market,Snack Place,Market
200,Saki Naka,19.1082208,72.8835824,41500.0,23,31,4,11,100,67,Indian Restaurant,Hotel,Fast Food Restaurant,Restaurant,Chinese Restaurant,Café,Lounge,Coffee Shop,Italian Restaurant,Pub
201,Sector 29C,19.03589285,72.95021418628839,28000.0,5,25,3,3,11,30,Athletics & Sports,Concert Hall,Shop & Service,Indian Restaurant,Falafel Restaurant,Donut Shop,Dumpling Restaurant,Electronics Store,Event Space,Factory
202,Sindhi Society Chembur,19.0508747,72.8890543,49200.0,26,41,12,14,100,80,Indian Restaurant,Snack Place,Bar,Fast Food Restaurant,Juice Bar,Coffee Shop,Mobile Phone Shop,Pizza Place,Ice Cream Shop,Smoke Shop
203,Tilak Nagar Mumbai,19.0692377,72.8978464,34666.67,24,39,6,29,100,76,Indian Restaurant,Restaurant,Café,Seafood Restaurant,Fast Food Restaurant,Bar,Lounge,Vegetarian / Vegan Restaurant,Chinese Restaurant,Pizza Place
204,Union Park,19.0455428,72.9050998,72400.0,16,25,3,17,100,47,Pizza Place,Indian Restaurant,Fast Food Restaurant,Café,Chinese Restaurant,Bakery,Asian Restaurant,Soccer Field,Lounge,Movie Theater
205,Anushakti Nagar,19.0395778,72.9221562,46000.0,2,8,2,4,14,19,Food,Indian Restaurant,Fast Food Restaurant,Gas Station,Bus Station,Café,Creperie,Convention Center,Fish & Chips Shop,Field
206,Kharodi,19.191684,72.8140978,26000.0,9,46,4,6,100,55,Resort,Hot Dog Joint,Liquor Store,Department Store,Dance Studio,Diner,Indian Restaurant,Event Space,Donut Shop,Dumpling Restaurant
207,Marol andheri east,19.1084462,72.8784065,42000.0,11,25,5,13,100,70,Indian Restaurant,Hotel,Fast Food Restaurant,Restaurant,Café,Lounge,Italian Restaurant,Coffee Shop,Pub,Chinese Restaurant
208,MHADA Colony 20,19.1656942,72.9662251,45285.71,10,32,4,15,100,31,Indian Restaurant,Chinese Restaurant,Ice Cream Shop,Pizza Place,Bus Station,Playground,Café,Gym / Fitness Center,Falafel Restaurant,Farm
209,Sector 7,19.02291925,73.04793003737667,33500.0,6,8,7,21,52,15,Smoke Shop,Pizza Place,Fast Food Restaurant,Restaurant,Recreation Center,Sports Bar,Bar,Bakery,Asian Restaurant,Indian Restaurant
210,Kemps Corner,18.9637535,72.8068617,38750.0,35,77,13,42,100,64,Café,Indian Restaurant,Bakery,Coffee Shop,Dessert Shop,Pizza Place,Sandwich Place,Theater,Department Store,Park
211,Lokhandwala Circle,19.1431889,72.824081,67500.0,20,16,6,29,100,22,Indian Restaurant,Café,Chinese Restaurant,Fast Food Restaurant,Coffee Shop,Pizza Place,Bar,Italian Restaurant,Bakery,Gym / Fitness Center
212,Poonam Nagar,19.1369178,72.869128,75500.0,8,38,2,23,100,47,Restaurant,Indian Restaurant,Dance Studio,Bed & Breakfast,Hotel,Gym / Fitness Center,Airport Terminal,Gym,Chinese Restaurant,Asian Restaurant
213,Shivaji Park,19.027236000000002,72.8383477969171,65000.0,16,69,13,43,100,88,Indian Restaurant,Chinese Restaurant,Fast Food Restaurant,Movie Theater,Coffee Shop,Bar,Ice Cream Shop,Breakfast Spot,Café,Shopping Mall
214,Turbhe,19.0761648,73.01766154369602,18000.0,4,16,1,5,94,22,Indian Restaurant,Train Station,Hotel,Motorcycle Shop,Zoo,Donut Shop,Dumpling Restaurant,Electronics Store,Event Space,Factory
215,film city road goregaon east,19.1721587,72.8744598,49000.0,11,46,5,12,83,35,Seafood Restaurant,Café,Pizza Place,Bar,Office,Monument / Landmark,Ice Cream Shop,Coffee Shop,Restaurant,Falafel Restaurant
216,Pestom Sagar Colony,19.0692541,72.9019227,38666.67,21,47,6,36,100,98,Indian Restaurant,Restaurant,Fast Food Restaurant,Juice Bar,Bar,Café,Seafood Restaurant,Lounge,Vegetarian / Vegan Restaurant,Coffee Shop
217,Elphinstone Road,19.0084268,72.842505,63000.0,76,44,18,27,100,100,Indian Restaurant,Coffee Shop,Bakery,Restaurant,Pharmacy,Bus Station,Café,Department Store,Buffet,Pizza Place
218,Hill Road,19.055552,72.8322643,80000.0,54,55,12,40,100,71,Café,Indian Restaurant,Bakery,Pizza Place,Bar,Chinese Restaurant,Seafood Restaurant,Snack Place,Lounge,Coffee Shop
219,J B Nagar,18.9387711,72.8353355,52857.14,30,43,30,27,100,76,Indian Restaurant,Café,Coffee Shop,Hotel,Seafood Restaurant,Fast Food Restaurant,Train Station,Bar,Bakery,Clothing Store
220,Lokhandwala Twp,19.1431889,72.824081,27000.0,20,16,6,29,100,22,Indian Restaurant,Café,Chinese Restaurant,Fast Food Restaurant,Coffee Shop,Pizza Place,Bar,Italian Restaurant,Bakery,Gym / Fitness Center
221,Western Express Highway Goregaon East,19.1848459,72.8585169,58750.0,27,78,6,15,100,82,Pizza Place,Snack Place,Gym / Fitness Center,Department Store,Ice Cream Shop,Indian Restaurant,Spa,Zoo,Factory,Donut Shop
222,Ashok Van,19.116503,72.886755,23000.0,29,34,0,15,100,32,Indian Restaurant,Café,Fast Food Restaurant,Food,Restaurant,Diner,Bakery,Chinese Restaurant,Snack Place,Hotel
223,Juhu Tara Rd,19.1002945,72.8273464,90000.0,4,21,4,29,100,11,Hotel,Indian Restaurant,Café,Bar,Lounge,Beach,Seafood Restaurant,Fast Food Restaurant,Spa,Snack Place
224,Khar Danda,19.07677855,72.82503089370692,82000.0,6,36,1,11,100,47,Italian Restaurant,Fast Food Restaurant,Dessert Shop,Bakery,Coffee Shop,Indian Restaurant,Snack Place,BBQ Joint,Ice Cream Shop,Juice Bar
225,poonam nagar,19.1369178,72.869128,49666.67,8,38,2,23,100,47,Restaurant,Indian Restaurant,Dance Studio,Bed & Breakfast,Hotel,Gym / Fitness Center,Airport Terminal,Gym,Chinese Restaurant,Asian Restaurant
226,RC Marg,19.0526419,72.8942789,41000.0,36,59,11,24,100,100,Indian Restaurant,Fast Food Restaurant,Pizza Place,Snack Place,Bakery,Ice Cream Shop,Spa,Bar,Café,Smoke Shop
227,Saki Vihar Road,19.1285901,72.8958916,46666.67,1,18,2,15,23,19,Indian Restaurant,Restaurant,Hotel,Café,Lounge,Bar,Garden,Chinese Restaurant,Pool,Italian Restaurant
228,Sion East,19.0428153,72.8653563,70000.0,28,25,9,31,100,100,Indian Restaurant,Vegetarian / Vegan Restaurant,Seafood Restaurant,Boutique,Train Station,Sandwich Place,Snack Place,Juice Bar,Dessert Shop,Restaurant
229,Western Express Highway Andheri East,19.1129667,72.8546562,50750.0,22,58,8,18,100,94,Fast Food Restaurant,Indian Restaurant,Café,Hotel,Restaurant,Chinese Restaurant,Shopping Mall,Asian Restaurant,Martial Arts Dojo,Smoke Shop
230,Western Express Highway Santacruz East,19.0903754,72.8437849,32000.0,22,27,5,16,100,52,Indian Restaurant,Gym,Café,Fast Food Restaurant,Shopping Mall,Bookstore,Snack Place,Electronics Store,Food Truck,Multiplex
231,15th Rd,19.070757,72.8320648,80000.0,20,23,6,29,100,83,Indian Restaurant,Bar,Bakery,Lounge,Seafood Restaurant,Fast Food Restaurant,Italian Restaurant,Café,Dessert Shop,Asian Restaurant
232,colaba post office,18.915091,72.8259691,75000.0,2,23,8,28,100,40,Indian Restaurant,Coffee Shop,Hotel,Café,Diner,Bar,Restaurant,Italian Restaurant,Chinese Restaurant,Tennis Court
233,Ganesh Nagar,19.1515483,72.9300624,32000.0,42,78,5,11,100,85,Multiplex,Indian Restaurant,Women's Store,Tea Room,Gym / Fitness Center,Bookstore,Hotel,Restaurant,Diner,Donut Shop
234,Hariyali,19.1136865,72.929775,50666.67,25,54,11,29,100,63,Vegetarian / Vegan Restaurant,Café,Indian Restaurant,Dessert Shop,Restaurant,Seafood Restaurant,Furniture / Home Store,Coworking Space,Clothing Store,Bakery
235,Jacob Circle,18.9810531,72.82678629995553,70000.0,4,45,15,16,100,100,Bakery,Indian Restaurant,Coffee Shop,Asian Restaurant,Gym,Modern European Restaurant,Restaurant,Racetrack,Café,Club House
236,Mahakali Road,19.1306093,72.87381645183467,32000.0,14,19,6,11,100,37,Indian Restaurant,Restaurant,Asian Restaurant,Pizza Place,Bed & Breakfast,Dance Studio,Italian Restaurant,Chinese Restaurant,Pet Store,Coffee Shop
237,Off Carter Road,19.0607341,72.8222907,84666.67,13,20,3,29,100,13,Café,Indian Restaurant,Bakery,Bar,Chinese Restaurant,Fast Food Restaurant,Asian Restaurant,Dessert Shop,Seafood Restaurant,Spa
238,Prabhadevi mumbai,19.0148811,72.8279556,90000.0,17,58,9,29,100,100,Indian Restaurant,Café,Coffee Shop,Chinese Restaurant,Electronics Store,Lounge,Snack Place,Restaurant,Bakery,Dessert Shop
239,Sector-6 Airoli,19.1538376,72.9626809,38000.0,0,1,0,0,8,1,Bus Station,Indian Restaurant,Pizza Place,Diner,Donut Shop,Dumpling Restaurant,Electronics Store,Event Space,Factory,Zoo
240,Shastri Nagar,19.1380387,72.8280164,65333.33,31,21,5,48,100,43,Indian Restaurant,Chinese Restaurant,Pub,Lounge,Coffee Shop,Italian Restaurant,Bar,Fast Food Restaurant,Brewery,Pizza Place
241,Western Express Highway Kandivali East,19.2214618,72.8654144,35250.0,30,38,5,17,100,63,Indian Restaurant,Café,Lounge,Bike Rental / Bike Share,Lighthouse,Movie Theater,Auto Dealership,Forest,Historic Site,Boat or Ferry
242,16th Rd,19.0770339,72.8311155,68000.0,22,28,11,24,100,76,Indian Restaurant,Coffee Shop,Italian Restaurant,Lounge,Bakery,Asian Restaurant,Clothing Store,Café,Gym / Fitness Center,Chinese Restaurant
243,nerul west,19.0370749,73.0124752,31000.0,28,54,2,36,100,57,Indian Restaurant,Snack Place,Diner,Café,BBQ Joint,Bus Station,Dessert Shop,Electronics Store,Deli / Bodega,Lounge
244,Old Nagardas Road,19.1228375,72.8527499,50600.0,24,73,9,17,100,83,Indian Restaurant,Fast Food Restaurant,Bakery,Camera Store,Café,Sandwich Place,Restaurant,Electronics Store,Athletics & Sports,Food Court
245,Sector-23 Juinagar,19.052557800000002,73.02416662624171,24000.0,6,12,0,9,78,18,Indian Restaurant,Pizza Place,Fast Food Restaurant,Campground,Train Station,Zoo,Diner,Donut Shop,Dumpling Restaurant,Electronics Store
246,Vakola,19.0813635,72.853893,57666.67,12,28,4,7,100,59,Bakery,Outdoors & Recreation,Clothing Store,Roof Deck,Restaurant,Electronics Store,Café,Tea Room,Chinese Restaurant,Thai Restaurant
247,Evershine Nagar,19.1471997,72.83406082649519,36000.0,12,54,6,29,100,63,Chinese Restaurant,Café,Indian Restaurant,Gym / Fitness Center,Gym,Pub,Seafood Restaurant,Bar,Bakery,Fast Food Restaurant
248,Perry Cross Rd,19.0588692,72.8228248,116666.67,13,24,4,33,100,16,Café,Indian Restaurant,Chinese Restaurant,Bar,Bakery,Coffee Shop,Fast Food Restaurant,Asian Restaurant,Scenic Lookout,Bagel Shop
249,Shivaji Nagar,19.0637885,72.9249,33000.0,23,100,6,13,100,100,Snack Place,Indian Restaurant,Bus Station,Adult Boutique,Pier,Fried Chicken Joint,Donut Shop,Dumpling Restaurant,Electronics Store,Event Space
250,Chinchpokli,18.9871984,72.8326716,65000.0,12,40,17,27,100,100,Bakery,Coffee Shop,Zoo,Plaza,Modern European Restaurant,Maharashtrian Restaurant,Restaurant,Spa,Furniture / Home Store,Café
251,Gopal Krishna Nagar,19.1117445,72.8678155,12500.0,20,56,6,28,100,95,Indian Restaurant,Hotel,Café,Lounge,Asian Restaurant,Restaurant,Seafood Restaurant,Hotel Bar,Italian Restaurant,Fast Food Restaurant
252,Mahul Road,19.0230485,72.8833743,41000.0,0,3,0,8,6,9,Snack Place,Coffee Shop,Light Rail Station,Baseball Field,Multiplex,Asian Restaurant,Thai Restaurant,Bookstore,Train Station,Gym Pool
253,Nerul East Sector 21,19.0370909,73.0233188,23750.0,41,65,2,48,100,55,Indian Restaurant,Fast Food Restaurant,Bakery,Diner,Ice Cream Shop,Pizza Place,Farmers Market,Food Court,South Indian Restaurant,Café
254,Sahakar Nagar Road,19.0126679,72.851632,38000.0,19,65,13,28,100,100,Indian Restaurant,Coffee Shop,Café,Movie Theater,Garden,Snack Place,Flower Shop,Lounge,Restaurant,Bus Station
255,Sai Baba Nagar,19.0627075,72.8910418,30000.0,29,29,5,33,100,89,Indian Restaurant,Vegetarian / Vegan Restaurant,Café,Bar,Performing Arts Venue,Arts & Crafts Store,Mobile Phone Shop,Restaurant,Snack Place,Bus Station
256,Sector 15,18.9387711,72.8353355,35000.0,30,43,30,27,100,76,Indian Restaurant,Café,Coffee Shop,Hotel,Seafood Restaurant,Fast Food Restaurant,Train Station,Bar,Bakery,Clothing Store
257,Worli Hill Road,19.0006288,72.8138069,65000.0,10,20,14,17,100,75,Seafood Restaurant,Chinese Restaurant,Indian Restaurant,Ice Cream Shop,Convenience Store,Arcade,Diner,Sporting Goods Shop,Café,Bakery
258,Sai Nagar,19.1490182,72.9257057,18500.0,31,69,4,5,100,64,ATM,Arcade,Snack Place,Indian Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Dim Sum Restaurant
259,TPS Road,19.0880241,72.9128536,35000.0,35,87,6,31,100,100,Indian Restaurant,Vegetarian / Vegan Restaurant,Café,Coffee Shop,Pizza Place,Juice Bar,Men's Store,Electronics Store,Lounge,Restaurant
260,IIT POWAI,19.13261855,72.91497912536826,32000.0,8,18,5,7,67,28,Indian Restaurant,Dance Studio,Department Store,Concert Hall,Café,Food Court,Event Space,Coffee Shop,Asian Restaurant,Building
261,Milan Subway,19.0904782,72.8426101,60000.0,24,29,5,16,100,54,Indian Restaurant,Gym,Fast Food Restaurant,Café,Plane,Chinese Restaurant,Plaza,Multiplex,Indie Movie Theater,Electronics Store
262,Nagpada,18.9681782,72.8286009,55000.0,46,100,35,19,100,100,Indian Restaurant,Fast Food Restaurant,Bakery,Restaurant,Department Store,Ice Cream Shop,Dessert Shop,Asian Restaurant,Middle Eastern Restaurant,Bus Station
263,New Nagardas Road,19.1221994,72.8479536,52500.0,29,71,10,18,100,81,Indian Restaurant,Fast Food Restaurant,Electronics Store,Sandwich Place,Pizza Place,Coffee Shop,Bakery,Bus Station,Café,Camera Store
264,Rizvi Complex,19.0662286,72.822963,78333.33,5,22,2,27,100,31,Indian Restaurant,Dessert Shop,Café,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Bakery,Bar,Cupcake Shop,Event Space
265,Teli Gali,19.117186,72.8506186,55000.0,49,60,13,19,100,75,Indian Restaurant,Fast Food Restaurant,Chinese Restaurant,Food Court,Vegetarian / Vegan Restaurant,Café,Shopping Mall,Shoe Store,Bookstore,Restaurant
266,114 Goregaon Mulund Link Road,19.1556112,72.9527115,44000.0,3,18,4,4,16,11,Bus Station,Restaurant,Fast Food Restaurant,Pizza Place,Train Station,Electronics Store,Dim Sum Restaurant,Diner,Donut Shop,Dumpling Restaurant
267,16th Cross Road,19.0697882,72.8306095,95000.0,20,60,6,39,100,81,Indian Restaurant,Bakery,Bar,Dessert Shop,Lounge,Italian Restaurant,Café,Seafood Restaurant,Asian Restaurant,Cupcake Shop
268,Chinchpokli East,18.9871984,72.8326716,56000.0,12,40,17,27,100,100,Bakery,Coffee Shop,Zoo,Plaza,Modern European Restaurant,Maharashtrian Restaurant,Restaurant,Spa,Furniture / Home Store,Café
269,Marol Vijay Nagar,19.118084,72.8801296,38000.0,19,32,5,20,100,39,Indian Restaurant,Chinese Restaurant,Hotel,Coffee Shop,Restaurant,Ice Cream Shop,Café,Flea Market,Dance Studio,Snack Place
270,sundervan complex,19.137424799999998,72.82719162637363,66000.0,29,37,5,42,100,42,Indian Restaurant,Lounge,Pub,Chinese Restaurant,Fast Food Restaurant,Italian Restaurant,Pizza Place,Multiplex,Bar,Bakery
271,Tunga Village,19.119371,72.8924338,45000.0,5,22,4,25,95,16,Indian Restaurant,Café,Food,Diner,Restaurant,Residential Building (Apartment / Condo),Garden,Department Store,Lounge,Pub
272,CENTRAL PARK,19.0572618,73.07113223427388,50000.0,6,18,0,10,31,8,Golf Course,Theme Park,Scenic Lookout,Plaza,Indian Restaurant,Zoo,Dim Sum Restaurant,Diner,Donut Shop,Dumpling Restaurant
273,Chuim Village,19.07359665,72.82572124902967,40000.0,9,36,1,17,100,52,Italian Restaurant,Bakery,Indian Restaurant,Asian Restaurant,Fast Food Restaurant,Snack Place,Lounge,Cupcake Shop,Ice Cream Shop,Dessert Shop
274,Eastern Express Highway,18.9420871,72.8345727,25000.0,27,69,32,26,100,100,Indian Restaurant,Café,Hotel,Seafood Restaurant,Bar,Bakery,Multiplex,Coffee Shop,Chinese Restaurant,Sandwich Place
275,PL Lokhande Marg,19.0605207,72.9100183,30000.0,18,54,8,31,100,100,Indian Restaurant,Gym / Fitness Center,Food Truck,Paper / Office Supplies Store,Seafood Restaurant,Hot Dog Joint,Grocery Store,Lounge,Asian Restaurant,Event Space
