,Neighborhood,Latitude,Longitude,Avg 2BHK Rent,Hospitals,Schools,Emergency Services,Leisure,Shopping Facilities,Spiritual Centers,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
105,Bhayandar West,19.1971521,72.8113662,20000.0,1,11,2,6,11,26,Resort,Hot Dog Joint,Diner,Dance Studio,Event Space,Dim Sum Restaurant,Donut Shop,Dumpling Restaurant,Electronics Store,Zoo
106,Sector 19 Kharghar,19.0525298,73.0735111,24500.0,8,16,0,16,80,13,Fast Food Restaurant,Pizza Place,Outdoor Sculpture,Ice Cream Shop,Theme Park,Zoo,Electronics Store,Dim Sum Restaurant,Diner,Donut Shop
107,Agripada,18.9753024,72.8248975,76500.0,6,85,22,20,100,100,Indian Restaurant,Fast Food Restaurant,Bakery,Gym,Restaurant,Chinese Restaurant,Department Store,Coffee Shop,Asian Restaurant,Movie Theater
108,Sector-18 Ulwe,19.02291925,73.04793003737667,14000.0,6,8,7,21,52,15,Smoke Shop,Pizza Place,Fast Food Restaurant,Restaurant,Recreation Center,Sports Bar,Bar,Bakery,Asian Restaurant,Indian Restaurant
109,Thakur Village,19.2097189,72.8759248,30000.0,9,39,2,24,100,28,Pizza Place,Indian Restaurant,Café,Fast Food Restaurant,Ice Cream Shop,Gym,Stadium,Department Store,Sports Bar,French Restaurant
110,Malabar Hill,18.9581616,72.8033665,154210.53,18,46,10,31,100,56,Indian Restaurant,Café,Dessert Shop,Coffee Shop,Restaurant,Bakery,Park,Salon / Barbershop,Pizza Place,History Museum
111,Lokhandwala complex,19.1431604,72.8246332,63500.06,22,18,6,28,100,24,Indian Restaurant,Chinese Restaurant,Pub,Café,Bar,Italian Restaurant,Bakery,Gym / Fitness Center,Coffee Shop,Lounge
112,Mumbai Central,18.9695855,72.8193152,6232.26,9,100,15,25,100,100,Fast Food Restaurant,Chinese Restaurant,Indian Restaurant,Coffee Shop,Restaurant,Department Store,Ice Cream Shop,Bakery,Golf Course,Athletics & Sports
113,matunga east,19.0261579,72.8520846,82250.0,10,79,9,27,100,76,Indian Restaurant,Café,Chinese Restaurant,Fast Food Restaurant,Coffee Shop,Ice Cream Shop,Snack Place,South Indian Restaurant,Gym,Bar
114,Thane East,19.1693436,72.9667636,22700.0,9,36,5,22,100,45,Indian Restaurant,Chinese Restaurant,Pizza Place,Fried Chicken Joint,Diner,Bus Station,Asian Restaurant,Playground,Café,Furniture / Home Store
